updated_at,as_of,fixed_results,results_fingerprint,odds,team_id,team,group,top8,top4,final,title
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),1034,NRG,D,0.60721,0.37937,0.22927,0.13192
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),120,100 Thieves,A,0.65468,0.39941,0.23267,0.13052
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),6961,LOUD,B,0.73948,0.4354,0.23982,0.12928
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),11060,Nongshim RedForce,D,0.61824,0.38051,0.22406,0.1264
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),14,T1,A,0.59895,0.33021,0.17271,0.08719
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),11058,G2 Esports,C,0.5631,0.29862,0.15026,0.07445
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),8877,Karmine Corp,D,0.60067,0.31096,0.15167,0.07095
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),918,Global Esports,B,0.63054,0.31236,0.14656,0.06712
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),624,Paper Rex,C,0.54728,0.27596,0.13177,0.06159
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),474,Team Liquid,C,0.50031,0.244,0.11108,0.04864
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),2059,Team Vitality,B,0.41827,0.15848,0.05782,0.02088
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),731,TYLOO,C,0.38931,0.1502,0.0553,0.02075
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),1184,FUT Esports,A,0.4206,0.14721,0.04996,0.0172
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),13576,JD Gaming,A,0.32577,0.09031,0.02636,0.00793
2026-09-24T10:05:29+00:00,2026-09-06T13:00:00,0,4f53cda18c2baa0c,map model nn (trained through 2026-09-06),1120,EDward Gaming,B,0.21171,0.04782,0.01141,0.00285
